Label,Expanded Label,OBO Ontology ID,Markers
B intermediate,Intermediate B cell,mature B cell,"MS4A1, TNFRSF13B, IGHM, IGHD, AIM2, CD79A, LINC01857, RALGPS2, BANK1, CD79B"
B memory,Memory B cell,memory B cell,"MS4A1, COCH, AIM2, BANK1, SSPN, CD79A, TEX9, RALGPS2, TNFRSF13C, LINC01781"
B naive,Naive B cell,naive B cell,"IGHM, IGHD, CD79A, IL4R, MS4A1, CXCR4, BTG1, TCL1A, CD79B, YBX3"
Plasmablast,Plasmablast,plasmablast,"IGHA2, MZB1, TNFRSF17, DERL3, TXNDC5, TNFRSF13B, POU2AF1, CPNE5, HRASLS2, NT5DC2"
CD4 CTL,CD4+ Cytotoxic T,"CD4-positive, alpha-beta cytotoxic T cell","GZMH, CD4, FGFBP2, ITGB1, GZMA, CST7, GNLY, B2M, IL32, NKG7"
CD4 Naive,CD4+ Naive T,"naive thymus-derived CD4-positive, alpha-beta T cell","TCF7, CD4, CCR7, IL7R, FHIT, LEF1, MAL, NOSIP, LDHB, PIK3IP1"
CD4 Proliferating,CD4+ Proliferating T,"activated CD4-positive, alpha-beta T cell","MKI67, TOP2A, PCLAF, CENPF, TYMS, NUSAP1, ASPM, PTTG1, TPX2, RRM2"
CD4 TCM,CD4+ Central Memory T,"CD4-positive, alpha-beta memory T cell","IL7R, TMSB10, CD4, ITGB1, LTB, TRAC, AQP3, LDHB, IL32, MAL"
CD4 TEM,CD4+ Effector Memory T,"effector CD4-positive, alpha-beta T cell","IL7R, CCL5, FYB1, GZMK, IL32, GZMA, KLRB1, TRAC, LTB, AQP3"
Treg Memory,Memory Regulatory T,regulatory T cell,"RTKN2, B2M, TIGIT, FCRL3, S100A4, AC133644.2, CTLA4, FOXP3, IKZF2, TRAC"
Treg Naive,Naive Regulatory T,regulatory T cell,"RTKN2, LEF1, FOXP3, C12orf57, IL2RA, TOMM7, CCR7, TRAC, CD4, LDHB"
CD8 Proliferating,CD8+ Proliferating T,"activated CD8-positive, alpha-beta T cell","MKI67, CD8B, TYMS, TRAC, PCLAF, CD3D, CLSPN, CD3G, TK1, RRM2"
CD8 TCM,CD8+ Central Memory T,"CD8-positive, alpha-beta memory T cell","CD8B, ANXA1, CD8A, KRT1, LINC02446, YBX3, IL7R, TRAC, NELL2, LDHB"
CD8 TEM,CD8+ Effector Memory T,"effector CD8-positive, alpha-beta T cell","CCL5, GZMH, CD8A, TRAC, KLRD1, NKG7, GZMK, CST7, CD8B, TRGC2"
ASDC,AXL+ Dendritic Cell,dendritic cell,"PPP1R14A, LILRA4, AXL, IL3RA, SCT, SCN9A, LGMN, DNASE1L3, CLEC4C, GAS6"
cDC1,Conventional Dendritic Cell 1,CD141-positive myeloid dendritic cell,"CLEC9A, DNASE1L3, C1orf54, IDO1, CLNK, CADM1, FLT3, ENPP1, XCR1, NDRG2"
cDC2,Conventional Dendritic Cell 2,CD1c-positive myeloid dendritic cell,"FCER1A, HLA-DQA1, CLEC10A, CD1C, ENHO, PLD4, GSN, SLC38A1, NDRG2, AFF3"
pDC,Plasmacytoid Dendritic Cell,plasmacytoid dendritic cell,"ITM2C, PLD4, SERPINF1, LILRA4, IL3RA, TPM2, MZB1, SPIB, IRF4, SMPD3"
CD14 Mono,CD14+ Monocyte,"CD14-positive, CD16-negative classical monocyte","S100A9, CTSS, S100A8, LYZ, VCAN, S100A12, IL1B, CD14, G0S2, FCN1"
CD16 Mono,CD16+ Monocyte,"CD14-low, CD16-positive monocyte","CDKN1C, FCGR3A, PTPRC, LST1, IER5, MS4A7, RHOC, IFITM3, AIF1, HES4"
NK,CD56-dim Natural Killer,"CD16-positive, CD56-dim natural killer cell, human","GNLY, TYROBP, NKG7, FCER1G, GZMB, TRDC, PRF1, FGFBP2, SPON2, KLRF1"
NK Proliferating,Proliferating Natural Killer,natural killer cell,"MKI67, KLRF1, TYMS, TRDC, TOP2A, FCER1G, PCLAF, CD247, CLSPN, ASPM"
NK_CD56bright,CD56-bright Natural Killer,"CD16-negative, CD56-bright natural killer cell, human","XCL2, FCER1G, SPINK2, TRDC, KLRC1, XCL1, SPTSSB, PPP1R9A, NCAM1, TNFRSF11A"
Eryth,Erythroid cell,erythroid lineage cell,"HBD, HBM, AHSP, ALAS2, CA1, SLC4A1, IFIT1B, TRIM58, SELENBP1, TMCC2"
HSPC,Hematopoietic stem and progenitor cell,hematopoietic precursor cell,"SPINK2, PRSS57, CYTL1, EGFL7, GATA2, CD34, SMIM24, AVP, MYB, LAPTM4B"
ILC,Innate Lymphoid Cell,innate lymphoid cell,"KIT, TRDC, TTLL10, LINC01229, SOX4, KLRB1, TNFRSF18, TNFRSF4, IL1R1, HPGDS"
Platelet,Platelet,platelet,"PPBP, PF4, NRGN, GNG11, CAVIN2, TUBB1, CLU, HIST1H2AC, RGS18, GP9"
dnT,Double-negative T,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell","PTPN3, MIR4422HG, NUCB2, CAV1, DTHD1, GZMA, MYB, FXYD2, GZMK, AC004585.1"
gdT,gamma-delta T,gamma-delta T cell,"TRDC, TRGC1, TRGC2, KLRC1, NKG7, TRDV2, CD7, TRGV9, KLRD1, KLRG1"
MAIT,Mucosal associated invariant T,mucosal invariant T cell,"KLRB1, NKG7, GZMK, IL7R, SLC4A10, GZMA, CXCR6, PRSS35, RBM24, NCR3"
CD8 Naive,CD8+ Naive T,"naive thymus-derived CD8-positive, alpha-beta T cell","CD8B, S100B, CCR7, RGS10, NOSIP, LINC02446, LEF1, CRTAM, CD8A, OXNAD1"

